variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	notes
group_7680	9.90E-01	3.15E-01	1.00E+00	1.55E+00	3.42E+00	-2.29E+00	-2.42E+01	3.24E+01	bad-chisq
group_7665	9.90E-01	3.15E-01	1.00E+00	1.81E+00	3.47E+00	-2.61E+00	-2.41E+01	3.25E+01	bad-chisq
group_7641	9.90E-01	3.15E-01	1.00E+00	1.81E+00	3.47E+00	-2.61E+00	-2.41E+01	3.25E+01	bad-chisq
srpI	9.90E-01	3.15E-01	1.00E+00	1.81E+00	3.47E+00	-2.61E+00	-2.41E+01	3.25E+01	bad-chisq
group_7613	9.90E-01	3.15E-01	1.00E+00	-1.44E+00	3.43E+00	5.99E-01	-2.45E+01	3.25E+01	bad-chisq
group_7509	9.90E-01	3.15E-01	1.00E+00	-3.28E+00	3.47E+00	2.48E+00	-2.42E+01	3.25E+01	bad-chisq
group_7494	9.90E-01	3.15E-01	1.00E+00	1.55E+00	3.42E+00	-2.29E+00	-2.42E+01	3.24E+01	bad-chisq
group_7458	9.90E-01	3.15E-01	1.00E+00	-3.28E+00	3.47E+00	2.48E+00	-2.42E+01	3.25E+01	bad-chisq
group_7434	9.90E-01	3.15E-01	1.00E+00	1.81E+00	3.47E+00	-2.61E+00	-2.41E+01	3.25E+01	bad-chisq
group_7433	9.90E-01	3.15E-01	1.00E+00	1.81E+00	3.47E+00	-2.61E+00	-2.41E+01	3.25E+01	bad-chisq
group_7421	9.90E-01	3.15E-01	1.00E+00	-9.60E-01	3.47E+00	1.86E-01	-2.40E+01	3.22E+01	bad-chisq
group_7414	9.90E-01	3.15E-01	1.00E+00	-5.65E+01	3.47E+00	5.57E+01	-2.42E+01	3.26E+01	bad-chisq
group_7413	9.90E-01	3.15E-01	1.00E+00	-3.28E+00	3.47E+00	2.48E+00	-2.42E+01	3.25E+01	bad-chisq
group_7410	9.90E-01	3.15E-01	1.00E+00	-3.28E+00	3.47E+00	2.48E+00	-2.42E+01	3.25E+01	bad-chisq
group_7409	9.90E-01	3.15E-01	1.00E+00	-3.28E+00	3.47E+00	2.48E+00	-2.42E+01	3.25E+01	bad-chisq
pobR	9.90E-01	3.15E-01	1.00E+00	1.81E+00	3.47E+00	-2.61E+00	-2.41E+01	3.25E+01	bad-chisq
group_7387	9.90E-01	3.15E-01	1.00E+00	-5.65E+01	3.47E+00	5.57E+01	-2.42E+01	3.26E+01	bad-chisq
group_7384	9.90E-01	3.15E-01	1.00E+00	-3.28E+00	3.47E+00	2.48E+00	-2.42E+01	3.25E+01	bad-chisq
group_7365	9.90E-01	3.15E-01	1.00E+00	-9.60E-01	3.47E+00	1.86E-01	-2.40E+01	3.22E+01	bad-chisq
group_7292	9.90E-01	3.15E-01	9.58E-02	3.78E+00	3.34E+00	-4.67E+00	-2.62E+01	3.68E+01	bad-chisq
