variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	notes
group_4159	9.90E-01	3.15E-01	1.00E+00	1.15E+00	4.96E+00	-1.12E+00	-1.23E+00	1.39E-02	bad-chisq
tagU	9.90E-01	3.15E-01	1.00E+00	7.41E-01	4.97E+00	-7.19E-01	-5.80E-01	2.14E-01	bad-chisq
group_4030	9.90E-01	3.15E-01	1.00E+00	1.09E+00	4.96E+00	-1.06E+00	-1.18E+00	1.23E-01	bad-chisq
group_3934	9.90E-01	3.15E-01	1.00E+00	-1.08E+00	4.96E+00	1.07E+00	-1.17E+00	1.63E-01	bad-chisq
copY	9.90E-01	3.15E-01	1.00E+00	1.15E+00	4.96E+00	-1.12E+00	-1.23E+00	1.39E-02	bad-chisq
arlS	9.90E-01	3.15E-01	1.00E+00	7.41E-01	4.97E+00	-7.19E-01	-5.80E-01	2.14E-01	bad-chisq
group_3553	9.90E-01	3.15E-01	1.00E+00	-1.09E+00	4.96E+00	1.08E+00	-1.20E+00	3.83E-02	bad-chisq
group_3363	9.90E-01	3.15E-01	1.00E+00	1.16E+00	4.96E+00	-1.13E+00	-1.24E+00	1.04E-02	bad-chisq
group_3300	9.90E-01	3.15E-01	1.00E+00	1.15E+00	4.96E+00	-1.12E+00	-1.24E+00	1.67E-02	bad-chisq
group_3205	9.90E-01	3.15E-01	1.00E+00	1.19E+00	4.96E+00	-1.17E+00	-1.26E+00	1.24E-01	bad-chisq
group_3196	9.90E-01	3.15E-01	1.00E+00	1.09E+00	4.96E+00	-1.06E+00	-1.18E+00	1.23E-01	bad-chisq
group_3168	9.90E-01	3.15E-01	1.00E+00	1.09E+00	4.96E+00	-1.06E+00	-1.18E+00	1.23E-01	bad-chisq
group_3015	9.90E-01	3.15E-01	1.00E+00	-1.13E+00	4.96E+00	1.12E+00	-1.19E+00	1.83E-01	bad-chisq
group_3009	9.90E-01	3.15E-01	1.00E+00	7.41E-01	4.97E+00	-7.19E-01	-5.80E-01	2.14E-01	bad-chisq
group_3002	9.90E-01	3.15E-01	1.00E+00	1.20E+00	4.96E+00	-1.17E+00	-1.25E+00	1.50E-01	bad-chisq
group_2987	9.90E-01	3.15E-01	1.00E+00	7.41E-01	4.97E+00	-7.19E-01	-5.80E-01	2.14E-01	bad-chisq
group_2918	9.90E-01	3.15E-01	1.00E+00	-1.09E+00	4.96E+00	1.08E+00	-1.20E+00	3.83E-02	bad-chisq
cpsC	9.90E-01	3.15E-01	1.00E+00	7.41E-01	4.97E+00	-7.19E-01	-5.80E-01	2.14E-01	bad-chisq
group_2899	9.90E-01	3.15E-01	1.00E+00	7.41E-01	4.97E+00	-7.19E-01	-5.80E-01	2.14E-01	bad-chisq
group_2599	9.90E-01	3.15E-01	1.00E+00	1.18E+00	4.96E+00	-1.15E+00	-1.25E+00	1.02E-03	bad-chisq
group_2539	9.90E-01	3.15E-01	1.00E+00	1.16E+00	4.96E+00	-1.13E+00	-1.25E+00	4.44E-02	bad-chisq
group_2444	9.90E-01	3.15E-01	1.00E+00	7.41E-01	4.97E+00	-7.19E-01	-5.80E-01	2.14E-01	bad-chisq
group_2438	9.90E-01	3.15E-01	1.00E+00	1.11E+00	4.96E+00	-1.08E+00	-1.18E+00	1.56E-01	bad-chisq
group_2434	9.90E-01	3.15E-01	1.00E+00	1.09E+00	4.96E+00	-1.06E+00	-1.18E+00	1.23E-01	bad-chisq
group_2430	9.90E-01	3.15E-01	1.00E+00	1.11E+00	4.96E+00	-1.08E+00	-1.18E+00	1.56E-01	bad-chisq
group_2427	9.90E-01	3.15E-01	1.00E+00	1.09E+00	4.96E+00	-1.06E+00	-1.18E+00	1.23E-01	bad-chisq
group_2419	9.90E-01	3.15E-01	1.00E+00	1.11E+00	4.96E+00	-1.08E+00	-1.18E+00	1.56E-01	bad-chisq
group_2413	9.90E-01	3.15E-01	1.00E+00	1.09E+00	4.96E+00	-1.06E+00	-1.18E+00	1.23E-01	bad-chisq
group_2406	9.90E-01	3.15E-01	1.00E+00	1.11E+00	4.96E+00	-1.08E+00	-1.18E+00	1.56E-01	bad-chisq
group_2384	9.90E-01	3.15E-01	1.00E+00	1.11E+00	4.96E+00	-1.08E+00	-1.18E+00	1.56E-01	bad-chisq
group_2339	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.96E+00	1.11E+00	-1.21E+00	1.49E-01	bad-chisq
group_2337	9.90E-01	3.15E-01	1.00E+00	7.41E-01	4.97E+00	-7.19E-01	-5.80E-01	2.14E-01	bad-chisq
