variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	notes
group_3363	9.90E-01	3.15E-01	7.87E-01	1.95E+00	3.54E+00	-1.70E+00	-1.53E+02	6.15E+00	bad-chisq
group_3362	9.90E-01	3.15E-01	7.87E-01	1.95E+00	3.54E+00	-1.70E+00	-1.53E+02	6.15E+00	bad-chisq
group_3360	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3357	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3354	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3351	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3344	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3343	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
ubiE	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
fprA	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3322	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3319	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
habA	9.90E-01	3.15E-01	1.00E+00	1.82E-01	3.59E+00	7.44E-03	-1.48E+02	5.71E+00	bad-chisq
group_3299	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3293	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3274	9.90E-01	3.15E-01	1.00E+00	1.05E+00	3.59E+00	-8.55E-01	-1.48E+02	5.80E+00	bad-chisq
group_3261	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3258	9.90E-01	3.15E-01	1.00E+00	4.61E-01	3.58E+00	-2.30E-01	-1.48E+02	5.71E+00	bad-chisq
group_3257	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3252	9.90E-01	3.15E-01	1.00E+00	4.70E-01	3.59E+00	-2.79E-01	-1.48E+02	5.73E+00	bad-chisq
group_3234	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3228	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3224	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
group_3221	9.90E-01	3.15E-01	1.00E+00	-4.35E+01	3.60E+00	4.37E+01	-1.50E+02	5.82E+00	bad-chisq
