variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
ppiC	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8816	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8811	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8731	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8730	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8729	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8600	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8576	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8574	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8569	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_8550	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
bluR	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
slyA	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
hpxZ	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_8479	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8457	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8456	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8431	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8422	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
iraM	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
hokG~~~hokF	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8398	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_8278	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
