sample	ERR11728851	ERR11728852	ERR11728855	ERR11728856	ERR11728857	ERR11728858	ERR11728860	ERR11728862	ERR11728863	ERR11728864	ERR11728865	ERR11728866	ERR11728867	ERR11728869	ERR11728871	ERR11728872	ERR11728873	ERR11728874	ERR11728875	ERR11728877	ERR11728879	ERR11728881	ERR11728882	ERR11728884	ERR11728885	ERR11728888	ERR11728891	ERR11728892	ERR11728894	ERR11728895	ERR11728896	ERR11728897	ERR11728898	ERR11728899	ERR11728900	ERR11728901	ERR11728902	ERR11728903	ERR11728904	ERR11728905	ERR11728906	ERR11728908	ERR11728909	ERR11728910	ERR11728911	ERR11728912	ERR11728913	ERR11728916	ERR11728917	ERR11728918	ERR11728919	ERR11728920	ERR11728922	ERR11728923	ERR11728924	ERR11728925	ERR11728926	ERR11728927	ERR11728928	ERR11728930	ERR11728932	ERR11728933	ERR11728934	ERR11728935	ERR11728936	ERR11728938	ERR11728940	ERR11728942	ERR11728943	ERR11728945	ERR11728946	ERR11728948	ERR11728949	ERR11728951	ERR11728952	ERR11728953	ERR11728954	ERR11728955	ERR11728956	ERR11728957	ERR11728959	ERR11728960	ERR11728961	ERR11728962	ERR11728966	ERR11728969	ERR11728970	ERR11728971	ERR11728974	ERR11728975	ERR11728976	ERR11728977	ERR11728978	ERR11728979	ERR11728981	ERR11728982	ERR11728983	ERR11728984	ERR11728985	ERR11728986
ERR11728851	0	0.00838426	0.263022	0.263022	0.263022	0.263022	0.263022	0.263022	0.00838426	0.00838426	0.00838426	0.00952763	0.00877107	0.00912584	0.0100207	0.00920555	0.00888862	0.00981378	0.00960897	0.00857671	0.00896738	0.00896738	0.00904645	0.00952763	0.0898429	0.00865422	0.00977265	0.00952763	0.00826969	0.23011	0.00884936	0.00896738	0.00985499	0.00981378	0.263022	0.210897	0.00838426	0.203604	0.210897	0.00924552	0.00960897	0.219531	0.210897	0.0102718	0.210897	0.0276006	0.0275126	0.00928558	0.00904645	0.00924552	0.0191181	0.210897	0.243761	0.0191181	0.23011	0.0191181	0.0081558	0.00165343	0.00932572	0.00881017	0.00944662	0.00800497	0.00888862	0.0187432	0.00936594	0.00877107	0.00912584	0.0227107	0.00948708	0.00838426	0.00940624	0.0162749	0.00144387	0.00896738	0.0142518	0.00881017	0.0142518	0.0142009	0.00838426	0.00157453	0.00940624	0.0138485	0.00981378	0.00865422	0.0393656	0.00940624	0.00892796	0.00944662	0.00920555	0.00861543	0.00861543	0.0081558	0.00944662	0.0081558	0.00981378	0.00892796	0.00808024	0.0090861	0.00170624	0.0081558
ERR11728852	0.00838426	0	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0	0	0	0.00826969	0.00785531	0.00698112	0.00737682	0.00823165	0.00748619	0.00873204	0.00853806	0.000805673	0.00770681	0.00770681	0.00694555	0.00834599	0.0903831	0.00741321	0.00861543	0.00737682	0.00789262	0.23011	0.00726808	0.00770681	0.00877107	0.00873204	0.295981	0.210897	0.000312573	0.203604	0.210897	0.00178577	0.00785531	0.23011	0.210897	0.00936594	0.210897	0.0276889	0.0267335	0.00698112	0.00730426	0.00178577	0.0184965	0.210897	0.295981	0.0184965	0.23011	0.0184965	0.00723198	0.00781808	0.00160079	0.00804257	0.00730426	0.00741321	0.00766986	0.0184965	0.00853806	0.00774383	0.00865422	0.0224927	0.00842259	0.00741321	0.00730426	0.0149234	0.0083078	0.00842259	0.0134525	0.00781808	0.0134525	0.0134036	0.00744966	0.0081558	0.00128842	0.013112	0.00759618	0.00741321	0.0374354	0.00730426	0.00796745	0.00730426	0.00811798	0.00789262	0.00789262	0.00723198	0.00896738	0.00723198	0.00752278	0.00638544	0.00785531	0.00770681	0.00819369	0.00793
ERR11728855	0.263022	0.295981	0	0	0	0.263022	0	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.23011	0.295981	0.295981	0.263022	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.243761	0.219531	0.295981	0.23011	0.219531	0.295981	0.263022	0.243761	0.219531	0.263022	0.219531	0.263022	0.243761	0.295981	0.295981	0.295981	0.295981	0.219531	0.0374354	0.295981	0.263022	0.295981	0.295981	0.263022	0.295981	0.263022	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.295981	0.263022	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.295981	0.219531	0.263022	0.295981	0.263022	0.295981	0.263022	0.263022	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.263022	0.295981
ERR11728856	0.263022	0.295981	0	0	0	0.263022	0	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.23011	0.295981	0.295981	0.263022	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.243761	0.219531	0.295981	0.23011	0.219531	0.295981	0.263022	0.243761	0.219531	0.263022	0.219531	0.263022	0.243761	0.295981	0.295981	0.295981	0.295981	0.219531	0.0374354	0.295981	0.263022	0.295981	0.295981	0.263022	0.295981	0.263022	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.295981	0.263022	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.295981	0.219531	0.263022	0.295981	0.263022	0.295981	0.263022	0.263022	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.263022	0.295981
ERR11728857	0.263022	0.295981	0	0	0	0.263022	0	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.23011	0.295981	0.295981	0.263022	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.243761	0.219531	0.295981	0.23011	0.219531	0.295981	0.263022	0.243761	0.219531	0.263022	0.219531	0.263022	0.243761	0.295981	0.295981	0.295981	0.295981	0.219531	0.0374354	0.295981	0.263022	0.295981	0.295981	0.263022	0.295981	0.263022	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.295981	0.263022	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.295981	0.219531	0.263022	0.295981	0.263022	0.295981	0.263022	0.263022	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.263022	0.295981
ERR11728858	0.263022	0.295981	0.263022	0.263022	0.263022	0	0.263022	2.38274e-05	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.243761	0.295981	0.295981	0.295981	0.295981	0.219531	0.295981	0.295981	0.295981	0.295981	0.0110007	0.203604	0.295981	0.210897	0.23011	0.295981	0.295981	0.203604	0.203604	0.295981	0.203604	0.243761	0.243761	0.295981	0.295981	0.295981	0.263022	0.203604	0.295981	0.263022	0.219531	0.263022	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.263022	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.263022	0.263022	0.263022	0.263022	0.295981	0.263022	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981
ERR11728860	0.263022	0.295981	0	0	0	0.263022	0	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.23011	0.295981	0.295981	0.263022	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.243761	0.219531	0.295981	0.23011	0.219531	0.295981	0.263022	0.243761	0.219531	0.263022	0.219531	0.263022	0.243761	0.295981	0.295981	0.295981	0.295981	0.219531	0.0374354	0.295981	0.263022	0.295981	0.295981	0.263022	0.295981	0.263022	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.295981	0.263022	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.295981	0.219531	0.263022	0.295981	0.263022	0.295981	0.263022	0.263022	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.263022	0.295981
ERR11728862	0.263022	0.295981	0.263022	0.263022	0.263022	2.38274e-05	0.263022	0	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.243761	0.295981	0.295981	0.295981	0.295981	0.219531	0.295981	0.295981	0.295981	0.295981	0.0110444	0.203604	0.295981	0.210897	0.23011	0.295981	0.295981	0.203604	0.203604	0.295981	0.203604	0.243761	0.243761	0.295981	0.295981	0.295981	0.263022	0.203604	0.295981	0.263022	0.219531	0.263022	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.263022	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.263022	0.263022	0.263022	0.263022	0.295981	0.263022	0.295981	0.263022	0.295981	0.295981	0.295981	0.295981	0.263022	0.295981	0.295981	0.263022	0.263022	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981
ERR11728863	0.00838426	0	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0	0	0	0.00826969	0.00785531	0.00698112	0.00737682	0.00823165	0.00748619	0.00873204	0.00853806	0.000805673	0.00770681	0.00770681	0.00694555	0.00834599	0.0903831	0.00741321	0.00861543	0.00737682	0.00789262	0.23011	0.00726808	0.00770681	0.00877107	0.00873204	0.295981	0.210897	0.000312573	0.203604	0.210897	0.00178577	0.00785531	0.23011	0.210897	0.00936594	0.210897	0.0276889	0.0267335	0.00698112	0.00730426	0.00178577	0.0184965	0.210897	0.295981	0.0184965	0.23011	0.0184965	0.00723198	0.00781808	0.00160079	0.00804257	0.00730426	0.00741321	0.00766986	0.0184965	0.00853806	0.00774383	0.00865422	0.0224927	0.00842259	0.00741321	0.00730426	0.0149234	0.0083078	0.00842259	0.0134525	0.00781808	0.0134525	0.0134036	0.00744966	0.0081558	0.00128842	0.013112	0.00759618	0.00741321	0.0374354	0.00730426	0.00796745	0.00730426	0.00811798	0.00789262	0.00789262	0.00723198	0.00896738	0.00723198	0.00752278	0.00638544	0.00785531	0.00770681	0.00819369	0.00793
ERR11728864	0.00838426	0	0.295981	0.295981	0.295981	0.295981	0.295981	0.295981	0	0	0	0.00826969	0.00785531	0.00698112	0.00737682	0.00823165	0.00748619	0.00873204	0.00853806	0.000805673	0.00770681	0.00770681	0.00694555	0.00834599	0.0903831	0.00741321	0.00861543	0.00737682	0.00789262	0.23011	0.00726808	0.00770681	0.00877107	0.00873204	0.295981	0.210897	0.000312573	0.203604	0.210897	0.00178577	0.00785531	0.23011	0.210897	0.00936594	0.210897	0.0276889	0.0267335	0.00698112	0.00730426	0.00178577	0.0184965	0.210897	0.295981	0.0184965	0.23011	0.0184965	0.00723198	0.00781808	0.00160079	0.00804257	0.00730426	0.00741321	0.00766986	0.0184965	0.00853806	0.00774383	0.00865422	0.0224927	0.00842259	0.00741321	0.00730426	0.0149234	0.0083078	0.00842259	0.0134525	0.00781808	0.0134525	0.0134036	0.00744966	0.0081558	0.00128842	0.013112	0.00759618	0.00741321	0.0374354	0.00730426	0.00796745	0.00730426	0.00811798	0.00789262	0.00789262	0.00723198	0.00896738	0.00723198	0.00752278	0.00638544	0.00785531	0.00770681	0.00819369	0.00793
