rank	feature_id	feature_type	gene_name	product	case_present	case_total	case_frequency	control_present	control_total	control_frequency	enriched_in	beta	odds_ratio	odds_ratio_ci95_lower	odds_ratio_ci95_upper	odds_ratio_ci95	pyseer_pvalue	q_value	priority_score	annotation_source	notes	display_name	display_label	display_product	interpretation_note	annotation_evidence	reference_locus_tag	reference_gene	reference_product	reference_location	reference_match_type	reference_identity	reference_coverage	annotation_confidence	annotation_note	cluster_member_ids
1	group_574	gene_presence_absence	group_574	Resolvase/invertase-type recombinase catalytic domain-containing protein	23	50	0.4600	0	50	0.0000	Cases	4.55	86.3091	5.04547	1476.42	5.045-1476	1.25e-09		18.3345	Panaroo/Bakta+GenBank		group_574	group_574 | HMPREF0351_RS07175 | none confidence	glycosyltransferase family 8 protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=27.75; coverage=2.60	HMPREF0351_RS07175		glycosyltransferase family 8 protein	complement(1472014..1472871)	nucleotide_similarity	27.75	2.60	none	matched_representative_sequence=group_574	BCEGCL_02843;DJAJGG_02626;EAHGHC_02953;EBMNDJ_03056;FIOBDN_02756;FNLDHP_02960;GCGADK_02774;JAJEAH_01989;JGBMCF_02008;JJIELG_02219;KFIHCG_02687;LJIIAA_02678;LNBAGD_02918;MMOFNP_01988;NBNIPB_02296;NCCLJD_01978;NJLMCP_02780;ODBCAF_02702;ODHHNB_02694;OIGEFE_02003;OOIKMG_02684;OPKPKN_03009;PDKMDO_02745
2	vanRA	gene_presence_absence	vanR-A	vancomycin resistance response regulator transcription factor VanR-A	36	50	0.7200	6	50	0.1200	Cases	3.04	17.2334	6.19264	47.9587	6.193-47.96	2.18e-10		16.7687	Panaroo/Bakta+GenBank		vanR-A	vanRA | HMPREF0351_RS08390 | none confidence	response regulator transcription factor	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=36.23; coverage=2.44	HMPREF0351_RS08390		response regulator transcription factor	complement(1724100..1724816)	nucleotide_similarity	36.23	2.44	none	matched_representative_sequence=vanRA	BBAPLL_02751;BCEGCL_02749;BODMBB_02748;DAGPJG_02803;DEFBHI_02705;DJAJGG_02628;DPGNPC_02801;EAHGHC_02773;EBMNDJ_02857;EMDJIL_02691;FAEPFC_02803;FIOBDN_02755;FNLDHP_02862;GBBODN_02750;GCGADK_02773;GJOFNM_02820;HLAPEO_02743;HOGLGD_02745;IAFNHG_02656;IIIHAF_02837;IPIGJP_02657;JAJEAH_01988;JGBMCF_02007;JHCCBL_02771;JJIELG_02220;KFIHCG_02685;KFKELN_02784;LJIIAA_02676;LKPDJB_02404;LNBAGD_02917
3	vanHA	gene_presence_absence	vanH-A	D-lactate dehydrogenase VanH-A	36	50	0.7200	6	50	0.1200	Cases	3.04	17.2334	6.19264	47.9587	6.193-47.96	2.18e-10		16.7687	Panaroo/Bakta+GenBank		vanH-A	vanHA | HMPREF0351_RS00080 | none confidence	HdeD family acid-resistance protein	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=39.44; coverage=0.93	HMPREF0351_RS00080		HdeD family acid-resistance protein	20045..20566	nucleotide_similarity	39.44	0.93	none	matched_representative_sequence=vanHA	BBAPLL_02749;BCEGCL_02747;BODMBB_02746;DAGPJG_02801;DEFBHI_02707;DJAJGG_02630;DPGNPC_02799;EAHGHC_02771;EBMNDJ_02855;EMDJIL_02693;FAEPFC_02801;FIOBDN_02883;FNLDHP_02860;GBBODN_02752;GCGADK_02864;GJOFNM_02822;HLAPEO_02741;HOGLGD_02593;IAFNHG_02658;IIIHAF_02835;IPIGJP_02659;JAJEAH_01986;JGBMCF_02005;JHCCBL_02773;JJIELG_02222;KFIHCG_02683;KFKELN_02782;LJIIAA_02674;LKPDJB_02402;LNBAGD_02791
4	vanA	gene_presence_absence	vanA	D-alanine--(R)-lactate ligase VanA	36	50	0.7200	6	50	0.1200	Cases	3.04	17.2334	6.19264	47.9587	6.193-47.96	2.18e-10		16.7687	Panaroo/Bakta+GenBank		vanA	vanA | HMPREF0351_RS00070 | none confidence	DegV family protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=31.65; coverage=0.97	HMPREF0351_RS00070		DegV family protein	17182..18045	nucleotide_similarity	31.65	0.97	none	matched_representative_sequence=vanA	BBAPLL_02748;BCEGCL_02746;BODMBB_02745;DAGPJG_02800;DEFBHI_02708;DJAJGG_02631;DPGNPC_02798;EAHGHC_02770;EBMNDJ_02854;EMDJIL_02694;FAEPFC_02800;FIOBDN_02884;FNLDHP_02859;GBBODN_02753;GCGADK_02863;GJOFNM_02823;HLAPEO_02740;HOGLGD_02594;IAFNHG_02659;IIIHAF_02834;IPIGJP_02660;JAJEAH_01985;JGBMCF_02004;JHCCBL_02774;JJIELG_02223;KFIHCG_02682;KFKELN_02781;LJIIAA_02673;LKPDJB_02401;LNBAGD_02790
5	vanSA	gene_presence_absence	vanS-A	vancomycin resistance histidine kinase VanS-A	36	50	0.7200	6	50	0.1200	Cases	3.04	17.2334	6.19264	47.9587	6.193-47.96	2.18e-10		16.7687	Panaroo/Bakta+GenBank		vanS-A	vanSA | HMPREF0351_RS02250 | none confidence	cysteinyl-tRNA synthetase	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=18.53; coverage=1.31	HMPREF0351_RS02250		cysteinyl-tRNA synthetase	472585..472833	nucleotide_similarity	18.53	1.31	none	matched_representative_sequence=vanSA	BBAPLL_02750;BCEGCL_02748;BODMBB_02747;DAGPJG_02802;DEFBHI_02706;DJAJGG_02629;DPGNPC_02800;EAHGHC_02772;EBMNDJ_02856;EMDJIL_02692;FAEPFC_02802;FIOBDN_02754;FNLDHP_02861;GBBODN_02751;GCGADK_02772;GJOFNM_02821;HLAPEO_02742;HOGLGD_02746;IAFNHG_02657;IIIHAF_02836;IPIGJP_02658;JAJEAH_01987;JGBMCF_02006;JHCCBL_02772;JJIELG_02221;KFIHCG_02684;KFKELN_02783;LJIIAA_02675;LKPDJB_02403;LNBAGD_02916
6	vanXA	gene_presence_absence	vanX-A	D-Ala-D-Ala dipeptidase VanX-A	36	50	0.7200	6	50	0.1200	Cases	3.04	17.2334	6.19264	47.9587	6.193-47.96	2.18e-10		16.7687	Panaroo/Bakta+GenBank		vanX-A	vanXA | HMPREF0351_RS00055 | none confidence	50S ribosomal protein L9	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=38.98; coverage=1.64	HMPREF0351_RS00055	rplI	50S ribosomal protein L9	12230..12682	nucleotide_similarity	38.98	1.64	none	matched_representative_sequence=vanXA	BBAPLL_02747;BCEGCL_02745;BODMBB_02744;DAGPJG_02799;DEFBHI_02709;DJAJGG_02632;DPGNPC_02797;EAHGHC_02769;EBMNDJ_02853;EMDJIL_02695;FAEPFC_02799;FIOBDN_02885;FNLDHP_02858;GBBODN_02754;GCGADK_02862;GJOFNM_02824;HLAPEO_02739;HOGLGD_02595;IAFNHG_02660;IIIHAF_02833;IPIGJP_02661;JAJEAH_01984;JGBMCF_02003;JHCCBL_02775;JJIELG_02224;KFIHCG_02681;KFKELN_02780;LJIIAA_02672;LKPDJB_02400;LNBAGD_02789
7	group_1541	gene_presence_absence	group_1541	amino acid permease	25	50	0.5000	1	50	0.0200	Cases	3.45	33	5.94096	183.304	5.941-183.3	4.74e-09		16.3686	Panaroo/Bakta+GenBank		group_1541	group_1541 | HMPREF0351_RS07090 | none confidence	amino acid permease	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=29.08; coverage=89.71	HMPREF0351_RS07090		amino acid permease	complement(1458975..1460402)	nucleotide_similarity	29.08	89.71	none	matched_representative_sequence=group_1541	BBAPLL_02698;BCEGCL_02733;CMDIKE_01107;DAGLGK_02662;DAGPJG_02643;DJAJGG_02666;DPGNPC_02771;EAHGHC_02700;EMDJIL_02643;FAEPFC_02782;FNLDHP_02844;GCGADK_00681;GLFBPE_02613;HLAPEO_02689;HOGLGD_02554;KFIHCG_02032;KFKELN_02740;LJIIAA_00732;LKPDJB_02460;MHHDHD_02606;NBNIPB_02513;NJLMCP_02810;ODBCAF_00558;OOIKMG_02715;OPKPKN_02730;PDKMDO_00553
8	group_3535	gene_presence_absence	group_3535	hypothetical protein	0	50	0.0000	17	50	0.3400	Controls	-4.54	0.0189533	0.00110195	0.325995	0.001102-0.326	7.38e-08		15.8533	Panaroo/Bakta		group_3535	group_3535 | no_reference_locus | none confidence	hypothetical protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	no sequence identity/coverage evidence available					none			none	No confident GenBank reference match found. The cluster may be accessory, divergent, absent from the reference, or not represented in Panaroo sequence outputs.	BFAOAP_03116;BJKGBB_00688;DHOPGE_03087;DNHFDD_01026;GBBODN_02918;HKAALB_01385;IIIHAF_02779;JAOBDG_02874;JHCCBL_02914;KAOGPO_03087;MFDKLE_00890;NBICIC_02854;NHJIOO_01613;NPNGCM_01050;OFKADD_02962;PCBIPO_00771;PDOPEE_03164
9	group_2813	gene_presence_absence	group_2813	5-deoxy-glucuronate isomerase	0	50	0.0000	17	50	0.3400	Controls	-4.54	0.0189533	0.00110195	0.325995	0.001102-0.326	7.38e-08		15.8533	Panaroo/Bakta+GenBank		group_2813	group_2813 | HMPREF0351_RS00080 | none confidence	HdeD family acid-resistance protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=27.62; coverage=0.97	HMPREF0351_RS00080		HdeD family acid-resistance protein	20045..20566	nucleotide_similarity	27.62	0.97	none	matched_representative_sequence=group_2813	BFAOAP_02957;BJKGBB_00692;DHOPGE_02905;DNHFDD_01030;GBBODN_02729;HKAALB_01389;IIIHAF_02775;JAOBDG_02688;JHCCBL_02753;KAOGPO_02979;MFDKLE_00886;NBICIC_02694;NHJIOO_02725;NPNGCM_01054;OFKADD_02802;PCBIPO_00777;PDOPEE_02980
10	group_2654	gene_presence_absence	dnaN	Inosose dehydratase	0	50	0.0000	17	50	0.3400	Controls	-4.54	0.0189533	0.00110195	0.325995	0.001102-0.326	7.38e-08		15.8533	Panaroo/Bakta+GenBank		dnaN	group_2654 | HMPREF0351_RS00010 | none confidence	DNA polymerase III subunit beta	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=36.60; coverage=1.12	HMPREF0351_RS00010	dnaN	DNA polymerase III subunit beta	1603..2733	nucleotide_similarity	36.60	1.12	none	matched_representative_sequence=group_2654	BFAOAP_01862;BJKGBB_01790;DHOPGE_01828;DNHFDD_02443;GBBODN_01870;HKAALB_01490;IIIHAF_01865;JAOBDG_01653;JHCCBL_01794;KAOGPO_01785;MFDKLE_02472;NBICIC_01586;NHJIOO_01728;NPNGCM_02491;OFKADD_01640;PCBIPO_01831;PDOPEE_01804
