sample	DRR076334	ERR15092750	ERR15092755	ERR15092757	ERR15092763	ERR15092766	ERR15092769	ERR15092770	ERR15092773	ERR15092776	ERR15092780	ERR15092782	ERR15092787	ERR15092790	ERR15092884	ERR15092887	ERR15092893	ERR2523119	ERR4777413	SRR10028183	SRR10028322	SRR10028331	SRR10028409	SRR10028410	SRR12329557	SRR12329567	SRR12329570	SRR12329572	SRR12329576	SRR12956247	SRR12956255	SRR12956264	SRR12956304	SRR12956311	SRR12956356	SRR12956360	SRR12956372	SRR12956373	SRR12956399	SRR12956400	SRR12956415	SRR12956416	SRR12956442	SRR12956449	SRR12956453	SRR12956457	SRR12956490	SRR12956499	SRR12956510	SRR12956522	SRR12956529	SRR12956553	SRR12956555	SRR12956633	SRR23078131	SRR23675060	SRR23683980	SRR23711609	SRR23956488	SRR24083847	SRR28009755	SRR28009759	SRR28009797	SRR28009798	SRR2915812	SRR2915817	SRR2915820	SRR2915822	SRR29294796	SRR29294802	SRR29682619	SRR29682621	SRR30867920	SRR33018350	SRR33018524	SRR33018535	SRR37184045	SRR37213099	SRR37213103	SRR5931293	SRR5931299	SRR5931312	SRR5931313	SRR5931386	SRR6204344	SRR8738394	SRR8738395	SRR8738397	SRR8738398	SRR8738400	SRR8738405	SRR8738407	SRR8738426	SRR8738430	SRR8738432	SRR8738474	SRR8738477	SRR8738479	SRR8738481	SRR8738493
DRR076334	0	0.0109136	0.0109571	0.0109571	0.0110444	0.0110007	0.0110444	0.0118471	0.0109571	0.0113529	0.0132573	0.0135508	0.0132573	0.0133059	0.0132087	0.0132087	0.0133547	0.0539403	0.00316966	0.0119383	0.00221642	0.0137488	0.00308338	0.00216198	0.00249129	0.00357808	0.00436283	0.0108702	0.00325637	0.0122604	0.00322742	0.0126819	0.00299754	0.0120298	0.0121217	0.00417861	0.00296902	0.00316966	0.00343111	0.00322742	0.00277069	0.00302611	0.0120757	0.00282712	0.00351914	0.00351914	0.00420918	0.0126819	0.0112201	0.00279888	0.0138985	0.00302611	0.0126819	0.00302611	0.0106545	0.00216198	0.010441	0.0574401	0.0130157	0.00343111	0.0124467	0.00288374	0.00325637	0.00325637	0.00216198	0.00202665	0.00202665	0.00202665	0.0110007	0.0119383	0.0110882	0.0103986	0.0120757	0.00291212	0.0105261	0.00322742	0.0134525	0.0124467	0.0135016	0.0026025	0.00316966	0.00268639	0.00268639	0.00268639	0.00337267	0.0107836	0.0123533	0.0115761	0.0130157	0.0136991	0.0124	0.00191916	0.0118017	0.0110007	0.0115761	0.0142518	0.0113529	0.0109571	0.0138985	0.012872
ERR15092750	0.0109136	0	4.76906e-05	2.38274e-05	0.000119496	4.76906e-05	9.55247e-05	0.00075568	7.15897e-05	0.00796745	0.00997914	0.00989629	0.00977265	0.00989629	0.00969064	0.00993767	0.0102298	0.0533217	0.0106116	0.011984	0.0109571	0.0119383	0.00981378	0.0101878	0.0106545	0.0112201	0.0117564	0.0101878	0.0103986	0.0112643	0.0101878	0.011984	0.0106545	0.0114865	0.0113974	0.0120757	0.0102718	0.0107836	0.0109136	0.0109571	0.0102718	0.0106545	0.0112643	0.0103562	0.0112643	0.0112643	0.0120757	0.011984	0.0113529	0.0102298	0.0120298	0.0110444	0.0117112	0.00969064	0.0105261	0.0101459	0.00993767	0.0547827	0.0124935	0.0097316	0.0101878	0.0104835	0.0100207	0.0100207	0.00940624	0.0101041	0.0101041	0.0101041	0.0103986	0.0129677	0.0109136	0.0100623	0.0118017	0.0108269	0.00989629	0.0107836	0.0110007	0.0110007	0.0110007	0.00997914	0.0108702	0.0100623	0.0100623	0.0100623	0.00985499	0.00948708	0.0122141	0.0113086	0.011621	0.0122141	0.0117564	0.0101041	0.0105261	0.0111761	0.0112643	0.0125405	0.0110882	0.00537869	0.0122141	0.0113086
ERR15092755	0.0109571	4.76906e-05	0	2.38274e-05	0.000119496	4.76906e-05	9.55247e-05	0.00075568	7.15897e-05	0.00796745	0.00993767	0.00985499	0.0097316	0.00985499	0.00964976	0.00989629	0.0101878	0.0533217	0.0106116	0.0120757	0.0110007	0.011984	0.00985499	0.0102298	0.0106545	0.0112201	0.0118017	0.0102298	0.010441	0.0113086	0.0102298	0.0120298	0.0106974	0.0115761	0.0114419	0.0120757	0.010314	0.0108269	0.0109571	0.0110007	0.010314	0.0106974	0.0113086	0.0103986	0.0113086	0.0113086	0.0121217	0.011984	0.0113974	0.0102718	0.0120298	0.0110882	0.0117112	0.00969064	0.0105261	0.0101878	0.00997914	0.0547827	0.0124935	0.00977265	0.0102298	0.0105261	0.0100207	0.0100207	0.00944662	0.0101459	0.0101459	0.0101459	0.010441	0.0129677	0.0109571	0.0101041	0.0118471	0.0108702	0.00993767	0.0107836	0.0110444	0.0110007	0.0110444	0.0100207	0.0109136	0.0101041	0.0101041	0.0101041	0.00989629	0.00948708	0.0122604	0.0113529	0.0116661	0.0122141	0.0117564	0.0101041	0.0105688	0.0111761	0.0113086	0.0125875	0.0110882	0.00541137	0.0122604	0.0113529
ERR15092757	0.0109571	2.38274e-05	2.38274e-05	0	9.55247e-05	2.38274e-05	7.15897e-05	0.000730741	4.76906e-05	0.00793	0.00993767	0.00985499	0.0097316	0.00985499	0.00964976	0.00989629	0.0101878	0.0533217	0.0106116	0.0120298	0.0110007	0.011984	0.00985499	0.0102298	0.0106545	0.0112201	0.0118017	0.0102298	0.010441	0.0113086	0.0102298	0.0120298	0.0106974	0.0115313	0.0114419	0.0120757	0.010314	0.0108269	0.0109571	0.0110007	0.010314	0.0106974	0.0113086	0.0103986	0.0113086	0.0113086	0.0121217	0.011984	0.0113974	0.0102718	0.0120298	0.0110882	0.0117112	0.00969064	0.0105261	0.0101878	0.00997914	0.0547827	0.0124935	0.00977265	0.0102298	0.0105261	0.0100207	0.0100207	0.00944662	0.0101459	0.0101459	0.0101459	0.010441	0.0129677	0.0109571	0.0100623	0.0118471	0.0108702	0.00993767	0.0107836	0.0110444	0.0110007	0.0110444	0.0100207	0.0109136	0.0101041	0.0101041	0.0101041	0.00989629	0.00944662	0.0122604	0.0113529	0.0116661	0.0122141	0.0117564	0.0101041	0.0105688	0.0111761	0.0113086	0.0125875	0.0110882	0.00537869	0.0122604	0.0113529
ERR15092763	0.0110444	0.000119496	0.000119496	9.55247e-05	0	0.000119496	0.000167546	0.000780658	0.000143503	0.00800497	0.0100623	0.00993767	0.00989629	0.00989629	0.0097316	0.00993767	0.0102718	0.0533217	0.0107405	0.0120757	0.0110882	0.0120757	0.00997914	0.0103562	0.0106974	0.0112643	0.0118927	0.010314	0.0106116	0.0113974	0.0103986	0.0121217	0.0107836	0.0115761	0.0115313	0.0121679	0.0103986	0.0109136	0.0110444	0.0110444	0.0103562	0.0108269	0.0113974	0.010441	0.0113974	0.0113974	0.0121679	0.0121217	0.0114419	0.0103986	0.0121217	0.0112201	0.0117564	0.00981378	0.0105688	0.0103562	0.0101459	0.0547827	0.0125875	0.00989629	0.010314	0.0106974	0.0101459	0.0101459	0.00956826	0.010314	0.010314	0.010314	0.0105261	0.0130638	0.0110444	0.0101459	0.0119383	0.0109571	0.0100207	0.0109571	0.0110444	0.0110882	0.0111321	0.0101459	0.0110007	0.0102298	0.0102298	0.0102298	0.0100623	0.00952763	0.0123068	0.0113974	0.0118017	0.0123068	0.0118017	0.0101878	0.0106116	0.0112643	0.0113974	0.0126819	0.0111761	0.00544411	0.0123533	0.0114419
ERR15092766	0.0110007	4.76906e-05	4.76906e-05	2.38274e-05	0.000119496	0	9.55247e-05	0.00075568	7.15897e-05	0.00796745	0.00993767	0.00989629	0.00977265	0.00985499	0.00964976	0.00989629	0.0102298	0.0533217	0.0106545	0.0120298	0.0110444	0.0120298	0.00989629	0.0102298	0.0106545	0.0112201	0.0118471	0.0102718	0.0104835	0.0113086	0.0102718	0.0120757	0.0107405	0.0115313	0.0114419	0.0121217	0.0103562	0.0108702	0.0110007	0.0110007	0.010314	0.0107405	0.0113529	0.0103986	0.0113529	0.0113529	0.0121217	0.0120298	0.0113974	0.0102718	0.0120757	0.0111321	0.0117112	0.00969064	0.0105261	0.0102298	0.0100207	0.0547827	0.0125405	0.00981378	0.0102298	0.0105688	0.0100623	0.0100623	0.00948708	0.0101878	0.0101878	0.0101878	0.0104835	0.0130157	0.0110007	0.0101041	0.0118927	0.0109136	0.00993767	0.0108269	0.0110882	0.0110444	0.0110882	0.0100623	0.0109571	0.0101041	0.0101041	0.0101041	0.00993767	0.00948708	0.0122604	0.0113529	0.0117112	0.0122604	0.0117564	0.0101459	0.0105688	0.0112201	0.0113529	0.0126347	0.0111321	0.00541137	0.0123068	0.0113974
ERR15092769	0.0110444	9.55247e-05	9.55247e-05	7.15897e-05	0.000167546	9.55247e-05	0	0.00075568	0.000119496	0.00800497	0.00997914	0.00993767	0.00981378	0.00985499	0.00964976	0.00989629	0.0102718	0.0533217	0.0106545	0.0120298	0.0110444	0.0120757	0.00989629	0.0102718	0.0106545	0.0112201	0.0118927	0.010314	0.0105261	0.0113086	0.010314	0.0120757	0.0107836	0.0115761	0.0114419	0.0121217	0.0103986	0.0109136	0.0110444	0.0110444	0.0103562	0.0107405	0.0113974	0.010441	0.0113974	0.0113974	0.0121217	0.0120757	0.0114419	0.010314	0.0121217	0.0111761	0.0117112	0.0097316	0.0105688	0.0102718	0.0100623	0.0547827	0.0125875	0.00981378	0.0102298	0.0106116	0.0100623	0.0100623	0.00948708	0.0102298	0.0102298	0.0102298	0.0105261	0.0130638	0.0110007	0.0101459	0.0119383	0.0109136	0.00993767	0.0108702	0.0111321	0.0110444	0.0111321	0.0100623	0.0110007	0.0101459	0.0101459	0.0101459	0.00997914	0.00948708	0.0122604	0.0113529	0.0117564	0.0123068	0.0117564	0.0101459	0.0105688	0.0112643	0.0113529	0.0126819	0.0111761	0.00541137	0.0123533	0.0114419
ERR15092770	0.0118471	0.00075568	0.00075568	0.000730741	0.000780658	0.00075568	0.00075568	0	0.000780658	0.00800497	0.00997914	0.00932572	0.00981378	0.00981378	0.00969064	0.00981378	0.00989629	0.0533217	0.0115761	0.0112643	0.010314	0.0122604	0.0107405	0.0113529	0.0117564	0.0111321	0.0118017	0.0101459	0.0113529	0.0120757	0.0112643	0.0115313	0.0114419	0.0108269	0.0111761	0.0114419	0.0113086	0.0113086	0.0115313	0.0115313	0.0110882	0.0117564	0.0106974	0.0112643	0.0107405	0.0107405	0.0114419	0.0115313	0.0107836	0.0111321	0.011621	0.0118927	0.0113086	0.0107836	0.0105261	0.0111761	0.0102718	0.0539403	0.0126819	0.0101459	0.0112643	0.0116661	0.0111321	0.0111321	0.0105688	0.0112643	0.0112643	0.0112643	0.00997914	0.0129677	0.0108702	0.0101459	0.011621	0.0117564	0.0103986	0.0109571	0.0106545	0.0110444	0.0106116	0.0108702	0.0103562	0.0109571	0.0109571	0.0108702	0.0110007	0.00924552	0.0116661	0.0107836	0.0109571	0.0127767	0.0110444	0.0110882	0.0106116	0.0113974	0.0107405	0.011984	0.0109571	0.004991	0.0126347	0.0112643
ERR15092773	0.0109571	7.15897e-05	7.15897e-05	4.76906e-05	0.000143503	7.15897e-05	0.000119496	0.000780658	0	0.00793	0.00993767	0.00989629	0.00977265	0.00989629	0.00969064	0.00989629	0.0101878	0.0533217	0.0106545	0.0120298	0.0110007	0.011984	0.00985499	0.0102298	0.0106974	0.0112643	0.0118017	0.0102298	0.010441	0.0113086	0.0102298	0.0120298	0.0106974	0.0114865	0.0114419	0.0121217	0.010314	0.0108269	0.0109571	0.0110007	0.010314	0.0106974	0.0113086	0.0103986	0.0113086	0.0113086	0.0121217	0.0120298	0.0113974	0.0102718	0.0120757	0.0110882	0.0117564	0.0097316	0.0105688	0.0101878	0.00997914	0.0545702	0.0125405	0.00977265	0.0102298	0.0105261	0.0100623	0.0100623	0.00944662	0.0101459	0.0101459	0.0101459	0.010441	0.0130157	0.0109571	0.0101041	0.0118471	0.0108702	0.00993767	0.0108269	0.0110444	0.0110444	0.0110444	0.0100207	0.0109136	0.0101041	0.0101041	0.0101041	0.00989629	0.00948708	0.0122604	0.0113529	0.0116661	0.0122604	0.0118017	0.0101459	0.0105688	0.0112201	0.0113086	0.0125875	0.0111321	0.00541137	0.0122604	0.0113529
ERR15092776	0.0113529	0.00796745	0.00796745	0.00793	0.00800497	0.00796745	0.00800497	0.00800497	0.00793	0	0.0102718	0.0101459	0.0100623	0.0101878	0.00997914	0.0101041	0.0101878	0.0552118	0.0109136	0.0121217	0.0102718	0.0143537	0.0109571	0.0108702	0.0118017	0.0113086	0.0120757	0.0102718	0.0113529	0.0126347	0.0118471	0.013112	0.0116661	0.0117564	0.0132573	0.0124	0.0118927	0.0117112	0.0119383	0.0120757	0.0113086	0.0120298	0.0110444	0.011621	0.0115761	0.0115761	0.0124467	0.0130638	0.0106974	0.0113086	0.013112	0.0123068	0.0134525	0.0110882	0.0106974	0.0120298	0.0101041	0.0560862	0.0127293	0.0110007	0.011621	0.0122604	0.0115313	0.0115313	0.010441	0.0110007	0.0110007	0.0110007	0.010441	0.0134036	0.0102718	0.00985499	0.0115313	0.0110007	0.010441	0.0109136	0.0111761	0.0112201	0.0111761	0.0108269	0.0109136	0.0108269	0.0108269	0.0108269	0.011621	0.0101459	0.0120757	0.0109571	0.0126347	0.0137986	0.0119383	0.0106116	0.011621	0.0113974	0.0109571	0.0136496	0.010441	0.0107405	0.0138485	0.0121679
