rank	feature_id	feature_type	gene_name	product	case_present	case_total	case_frequency	control_present	control_total	control_frequency	enriched_in	beta	odds_ratio	odds_ratio_ci95_lower	odds_ratio_ci95_upper	odds_ratio_ci95	pyseer_pvalue	q_value	priority_score	annotation_source	notes	display_name	display_label	display_product	interpretation_note	annotation_evidence	reference_locus_tag	reference_gene	reference_product	reference_location	reference_match_type	reference_identity	reference_coverage	annotation_confidence	annotation_note	cluster_member_ids
1	blaOXA~~~blaOXA23	gene_presence_absence	blaOXA;blaOXA-23	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase;OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23	50	50	1.0000	0	50	0.0000	Cases	8.62	10201	198.519	524185	198.5-5.242e+05	2.63e-16		31.8965	Panaroo/Bakta+GenBank		blaOXA;blaOXA-23	blaOXA~~~blaOXA23 | A6739_RS00110 | none confidence	tyrosine--tRNA ligaseCONTIG      join(CZWC01000001.1:1..24345)	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=22.06; coverage=1.93	A6739_RS00110	tyrS	tyrosine--tRNA ligaseCONTIG      join(CZWC01000001.1:1..24345)	22857..24089	nucleotide_similarity	22.06	1.93	none	matched_representative_sequence=blaOXA~~~blaOXA23	ANNMME_04096;BIMHKD_04132;BKKCFL_03769;CHLMLA_03847;CLAKBE_03911;COHMLF_01621;DEPLCM_04126;DHMCKF_03721;EDMCBA_03845;EKEFBI_03097;EKJIGM_03750;EMLMMI_03100;ENEAAA_03842;FAMOPM_03619;FDMKAG_03800;FKBKHM_03691;FNOCKN_04022;GAEFLF_03820;GEIJOK_03810;GGMMDJ_03860;GJMGGM_04001;GLMFPI_02936;GMFAHH_03899;HENMEN_03849;HKLMOD_03826;HMEENH_03945;IILCLB_03880;JAKFAI_03844;JEJHBL_03804;JFJBEF_03832
2	group_6798	gene_presence_absence	group_6798	alpha/beta fold hydrolase	50	50	1.0000	0	50	0.0000	Cases	8.62	10201	198.519	524185	198.5-5.242e+05	2.63e-16		31.8965	Panaroo/Bakta+GenBank		group_6798	group_6798 | A6739_RS00100 | none confidence	alpha/beta fold hydrolase	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=35.04; coverage=1.33	A6739_RS00100		alpha/beta fold hydrolase	complement(20695..21540)	nucleotide_similarity	35.04	1.33	none	matched_representative_sequence=group_6798	ANNMME_04095;BIMHKD_04131;BKKCFL_03770;CHLMLA_03848;CLAKBE_03910;COHMLF_01622;DEPLCM_04127;DHMCKF_03722;EDMCBA_03844;EKEFBI_03096;EKJIGM_03751;EMLMMI_03099;ENEAAA_03843;FAMOPM_03620;FDMKAG_03801;FKBKHM_03692;FNOCKN_04023;GAEFLF_03821;GEIJOK_03809;GGMMDJ_03859;GJMGGM_04000;GLMFPI_02935;GMFAHH_03900;HENMEN_03848;HKLMOD_03827;HMEENH_03946;IILCLB_03881;JAKFAI_03845;JEJHBL_03805;JFJBEF_03831
3	group_6974	gene_presence_absence	erpA	iron-sulfur cluster insertion protein ErpA	37	50	0.7400	0	50	0.0000	Cases	4.39	280.556	16.161	4870.44	16.16-4870	2.47e-07		17.7394	Panaroo/Bakta+GenBank		erpA	group_6974 | A6739_RS00095 | none confidence	iron-sulfur cluster insertion protein ErpA	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=34.57; coverage=2.04	A6739_RS00095	erpA	iron-sulfur cluster insertion protein ErpA	20304..20639	nucleotide_similarity	34.57	2.04	none	matched_representative_sequence=group_6974	ANNMME_04094;BIMHKD_04130;BKKCFL_03771;CHLMLA_03849;CLAKBE_03909;DEPLCM_04128;EDMCBA_03843;ENEAAA_03844;FAMOPM_03621;FDMKAG_03802;FKBKHM_03693;GAEFLF_03822;GEIJOK_03808;GGMMDJ_03858;GMFAHH_03898;HENMEN_03847;HMEENH_03947;IILCLB_03882;JAKFAI_03853;JEJHBL_03806;JFJBEF_03830;JOLCOG_03814;KDMBIP_03708;LPJHGC_03780;MOFKMO_03839;NCLOCB_03845;NLLOAD_04129;NMFHKC_03897;NMOMMB_03913;OBKBPL_03940
4	group_1072	gene_presence_absence	cybC	HTH tetR-type domain-containing protein	0	50	0.0000	31	50	0.6200	Controls	-5.1	0.00612918	0.000357306	0.105139	0.0003573-0.1051	3.13e-07		16.8545	Panaroo/Bakta+GenBank		cybC	group_1072 | A6739_RS00065 | none confidence	cytochrome b562	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=39.55; coverage=1.87	A6739_RS00065	cybC	cytochrome b562	13092..13484	nucleotide_similarity	39.55	1.87	none	matched_representative_sequence=group_1072	AEAJCM_02724;AEPHHL_00567;AGNLLF_00009;AOBNGK_02616;APKFKK_02786;BCAJEO_02991;CMDNKJ_01400;EAFGGO_03731;EOONHM_00424;FEECBJ_00824;GLGIIC_00364;GMMHOP_00006;GPCEGG_02892;HIOOEO_02713;IJKCGG_00009;JBKHKM_00750;KAIBOE_04024;KNPJLO_00324;LNGIEH_00523;MOFLDA_00571;NADHLL_02115;NANECH_01324;NGKKDC_01072;NKDDBA_02775;OBMFOM_00518;OIJAEJ_02683;OLJICN_03518;OMAPCN_02699;OMJIED_01293;PAJDEF_02776
5	ridA	gene_presence_absence	ridA	RidA family protein	0	50	0.0000	30	50	0.6000	Controls	-5.11	0.00665476	0.000388329	0.114042	0.0003883-0.114	5.44e-07		16.4958	Panaroo/Bakta+GenBank		ridA	ridA | A6739_RS00005 | none confidence	DsbC family protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=37.22; coverage=2.29	A6739_RS00005		DsbC family protein	complement(<1..585)	nucleotide_similarity	37.22	2.29	none	matched_representative_sequence=ridA	AEAJCM_02723;AEPHHL_00566;AGNLLF_00008;AOBNGK_02617;APKFKK_02787;BCAJEO_02992;CMDNKJ_01399;EAFGGO_03732;EOONHM_00425;GLGIIC_00363;GMMHOP_00005;GPCEGG_02891;HIOOEO_02712;IJKCGG_00008;JBKHKM_00751;KAIBOE_04025;KNPJLO_00325;LNGIEH_00524;MOFLDA_00572;NADHLL_02114;NANECH_01323;NGKKDC_01073;NKDDBA_02776;OBMFOM_00517;OIJAEJ_02682;OLJICN_03519;OMAPCN_02698;OMJIED_01292;PAJDEF_02777;PDBBOI_02809
6	group_6742	gene_presence_absence	group_6742	hypothetical protein;Nucleoid-associated protein	32	50	0.6400	0	50	0.0000	Cases	4.27	177.432	10.331	3047.34	10.33-3047	1.53e-06		16.2864	Panaroo/Bakta+GenBank		group_6742	group_6742 | A6739_RS00085 | none confidence	putative solute-binding protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=35.04; coverage=1.05	A6739_RS00085		putative solute-binding protein	17825..18832	nucleotide_similarity	35.04	1.05	none	matched_representative_sequence=group_6742	ANNMME_00704;BIMHKD_00230;CHLMLA_02687;DEPLCM_00542;EDMCBA_00705;ENEAAA_00440;FDMKAG_01028;FKBKHM_03452;FNOCKN_00733;GEIJOK_00055;GJMGGM_00702;GMFAHH_00378;HENMEN_02573;HKLMOD_00410;IILCLB_00961;JAKFAI_00863;JEJHBL_00055;JGKJBK_00188;KDMBIP_03045;LPJHGC_00055;MDFJDP_00200;NCLOCB_00705;NLLOAD_00542;NMFHKC_01029;OBKBPL_02706;OCKDLB_00055;OILKJE_00682;OMJNPG_00289;OOAOIA_01029;PDKMKB_01030
7	group_3104	gene_presence_absence	rnpA	Phage-related membrane protein	32	50	0.6400	0	50	0.0000	Cases	4.27	177.432	10.331	3047.34	10.33-3047	1.53e-06		16.2864	Panaroo/Bakta+GenBank		rnpA	group_3104 | A6739_RS00035 | none confidence	ribonuclease P protein component	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=32.27; coverage=0.83	A6739_RS00035	rnpA	ribonuclease P protein component	complement(5566..5958)	nucleotide_similarity	32.27	0.83	none	matched_representative_sequence=group_3104	ANNMME_00703;BIMHKD_00231;CHLMLA_02686;DEPLCM_00541;EDMCBA_00706;ENEAAA_00441;FDMKAG_01027;FKBKHM_03453;FNOCKN_00732;GEIJOK_00056;GJMGGM_00703;GMFAHH_00379;HENMEN_02574;HKLMOD_00411;IILCLB_00962;JAKFAI_00862;JEJHBL_00056;JGKJBK_00189;KDMBIP_03044;LPJHGC_00056;MDFJDP_00199;NCLOCB_00706;NLLOAD_00541;NMFHKC_01028;OBKBPL_02707;OCKDLB_00056;OILKJE_00683;OMJNPG_00288;OOAOIA_01028;PDKMKB_01029
8	group_2979	gene_presence_absence	erpA	HTH tetR-type domain-containing protein	0	50	0.0000	28	50	0.5600	Controls	-5	0.00781657	0.000456753	0.133768	0.0004568-0.1338	1.46e-06		15.8349	Panaroo/Bakta+GenBank		erpA	group_2979 | A6739_RS00095 | none confidence	iron-sulfur cluster insertion protein ErpA	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=33.97; coverage=1.82	A6739_RS00095	erpA	iron-sulfur cluster insertion protein ErpA	20304..20639	nucleotide_similarity	33.97	1.82	none	matched_representative_sequence=group_2979	ACIDLP_03511;AEAJCM_02707;AEPHHL_02594;AGNLLF_02408;AMBHCN_01180;APKFKK_02651;BCAJEO_02675;CNACEH_02768;DPCGGD_02294;EAFGGO_02954;FEECBJ_03563;GLGIIC_01653;GPCEGG_02506;HIOOEO_02696;IJKCGG_03021;JMGEHL_02856;KAIBOE_04045;LABLAA_02705;LAEAMC_03094;NADHLL_00759;NGKKDC_02663;NJCICH_02901;NKDDBA_02640;OIJAEJ_02666;OLJICN_02482;OMAPCN_02627;PAJDEF_02641;PDBBOI_02611
9	hscC	gene_presence_absence	hscC	Molecular chaperone HscC	0	50	0.0000	29	50	0.5800	Controls	-4.98	0.00721598	0.000421407	0.123563	0.0004214-0.1236	2.26e-06		15.7605	Panaroo/Bakta+GenBank		hscC	hscC | A6739_RS00100 | none confidence	alpha/beta fold hydrolase	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=26.31; coverage=0.53	A6739_RS00100		alpha/beta fold hydrolase	complement(20695..21540)	nucleotide_similarity	26.31	0.53	none	matched_representative_sequence=hscC	AEAJCM_03214;AEPHHL_00718;AGNLLF_00160;AOBNGK_00112;APKFKK_03407;BCAJEO_03232;BDOIEG_00929;EAFGGO_00917;EOONHM_00274;GLGIIC_00515;GMMHOP_00156;GPCEGG_03119;HIOOEO_03399;JBKHKM_00587;KAIBOE_03988;KNPJLO_03612;LABLAA_01378;LAEAMC_00220;LNGIEH_00374;MOFLDA_00421;NGKKDC_00921;NJCICH_01461;NKDDBA_03396;OBMFOM_00681;OIJAEJ_03368;OLJICN_00363;OMAPCN_03189;PAJDEF_03358;PDBBOI_03335
10	group_2610	gene_presence_absence	phzF;	Phenazine biosynthesis protein PhzF;hypothetical protein	50	50	1.0000	17	50	0.3400	Cases	4.34	193.343	11.2409	3325.47	11.24-3325	9.14e-06		15.6341	Panaroo/Bakta+GenBank		phzF;	group_2610 | A6739_RS00050 | none confidence	DNA polymerase III subunit beta	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=33.87; coverage=1.45	A6739_RS00050	dnaN	DNA polymerase III subunit beta	8288..9436	nucleotide_similarity	33.87	1.45	none	matched_representative_sequence=group_2610	AHMIAP_03307;AIGIAA_00355;ANGLGM_01645;ANNMME_01836;BDOIEG_02865;BIMHKD_00044;BKKCFL_03193;CHLMLA_00904;CLAKBE_02996;CLAKBE_03392;COHMLF_03299;DEPLCM_00728;DHMCKF_03293;DLCDOA_01300;EDMCBA_01153;EKEFBI_00068;EKJIGM_01816;EMLMMI_00068;ENEAAA_00814;FAMOPM_01943;FDMKAG_02588;FEECBJ_03012;FKBKHM_03646;FNOCKN_01989;GAEFLF_02846;GAEFLF_03346;GEIJOK_02697;GGMMDJ_02481;GJMGGM_01943;GLGIIC_01649
