rank	feature_id	feature_type	gene_name	product	case_present	case_total	case_frequency	control_present	control_total	control_frequency	enriched_in	beta	odds_ratio	odds_ratio_ci95_lower	odds_ratio_ci95_upper	odds_ratio_ci95	pyseer_pvalue	q_value	priority_score	annotation_source	notes	display_name	display_label	display_product	interpretation_note	annotation_evidence	reference_locus_tag	reference_gene	reference_product	reference_location	reference_match_type	reference_identity	reference_coverage	annotation_confidence	annotation_note	cluster_member_ids
1	blaKPC67~~~blaKPC2	gene_presence_absence	blaKPC-67;blaKPC-2	inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-67;carbapenem-hydrolyzing class A beta-lactamase KPC-2	50	50	1.0000	13	50	0.2600	Cases	5.64	280.556	16.161	4870.44	16.16-4870	2.27e-17		27.7761	Panaroo/Bakta+GenBank		blaKPC-67;blaKPC-2	blaKPC67~~~blaKPC2 | KPN_RS23095 | none confidence	UDP-N-acetyl-D-mannosamine dehydrogenase	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=18.12; coverage=1.67	KPN_RS23095	wecC	UDP-N-acetyl-D-mannosamine dehydrogenase	4695680..4696942	nucleotide_similarity	18.12	1.67	none	matched_representative_sequence=blaKPC67~~~blaKPC2	ACMLHL_04658;AENLJA_04785;AEOABF_05514;AHHNMN_05377;AHNHFK_04957;ANNNIK_04399;BEDDGA_05706;BGGBBI_03022;BLCKKP_05532;BMDOOG_04890;CBCBPB_05547;CHCLDJ_05485;CPJPGI_05429;DFFEKE_04972;DGLKOJ_05282;DMJFLM_05327;EKPLKB_05140;EMKGNF_05188;EOIIEI_04855;FIIMIJ_04893;FMDNFB_05254;FPBJNE_05333;FPPMFH_04410;GCNAEO_05349;GHEABH_04713;GNFDFK_05248;GOALEL_04643;HBAILA_05275;HBKCOO_05216;IBBJOJ_05467
2	group_8655	gene_presence_absence	;tnp	Transposase IS4-like domain-containing protein;hypothetical protein;IS1182 family ISKpn6 transposase	49	50	0.9800	13	50	0.2600	Cases	4.52	91.6667	16.0982	521.968	16.1-522	7.52e-16		24.6421	Panaroo/Bakta+GenBank		;tnp	group_8655 | KPN_RS08915 | none confidence	VOC family protein	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=26.78; coverage=1.14	KPN_RS08915		VOC family protein	1833037..1833792	nucleotide_similarity	26.78	1.14	none	matched_representative_sequence=group_8655	ACMLHL_04657;AENLJA_04784;AEOABF_05513;AHHNMN_05376;AHNHFK_04956;ANNNIK_04398;BEDDGA_05705;BGGBBI_03023;BLCKKP_05533;BMDOOG_04891;CBCBPB_05546;CHCLDJ_05484;CPJPGI_05428;DFFEKE_04971;DGLKOJ_05281;DMJFLM_05326;EKPLKB_05141;EMKGNF_05187;EOIIEI_04854;FIIMIJ_04894;FMDNFB_05255;FPBJNE_05332;FPPMFH_04411;GCNAEO_05350;GHEABH_04675;GOALEL_04644;HBAILA_05274;HBKCOO_05217;IBBJOJ_05466;IECKKB_05470
3	group_8585	gene_presence_absence	;tnpA	Tn3 family transposase;hypothetical protein;Tn3-like element Tn4401 family transposase	48	50	0.9600	13	50	0.2600	Cases	4.22	53.8889	13.0881	221.882	13.09-221.9	1.13e-14		22.6988	Panaroo/Bakta+GenBank		;tnpA	group_8585 | KPN_RS00035 | none confidence	alanine/glycine:cation symporter family protein	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=27.66; coverage=0.40	KPN_RS00035		alanine/glycine:cation symporter family protein	complement(6630..8060)	nucleotide_similarity	27.66	0.40	none	matched_representative_sequence=group_8585	ACMLHL_04661;AENLJA_04788;AEOABF_05517;AHHNMN_05380;ANNNIK_04402;BEDDGA_05370;BGGBBI_03019;BLCKKP_05529;BMDOOG_04887;CBCBPB_05550;CHCLDJ_05488;CPJPGI_05432;DFFEKE_04975;DGLKOJ_05285;DMJFLM_05330;EKPLKB_05137;EMKGNF_05191;EOIIEI_04858;FIIMIJ_04890;FMDNFB_05251;FPBJNE_05336;FPPMFH_04407;GCNAEO_05346;GHEABH_04710;GOALEL_04640;HBAILA_05278;HBKCOO_05213;IBBJOJ_05470;IECKKB_05474;IILOJN_05039
4	group_5300	gene_presence_absence	istB	IS21-like element ISKpn7 family helper ATPase IstB	48	50	0.9600	13	50	0.2600	Cases	4.22	53.8889	13.0881	221.882	13.09-221.9	1.13e-14		22.6988	Panaroo/Bakta+GenBank		istB	group_5300 | KPN_RS03045 | none confidence	YbdK family carboxylate-amine ligase	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=22.68; coverage=1.92	KPN_RS03045		YbdK family carboxylate-amine ligase	complement(633134..634249)	nucleotide_similarity	22.68	1.92	none	matched_representative_sequence=group_5300	ACMLHL_04659;AENLJA_04786;AEOABF_05515;AHHNMN_05378;ANNNIK_04400;BEDDGA_05735;BGGBBI_03021;BLCKKP_05531;BMDOOG_04889;CBCBPB_05548;CHCLDJ_05486;CPJPGI_05430;DFFEKE_04973;DGLKOJ_05283;DMJFLM_05328;EKPLKB_05139;EMKGNF_05189;EOIIEI_04856;FIIMIJ_04892;FMDNFB_05253;FPBJNE_05334;FPPMFH_04409;GCNAEO_05348;GHEABH_04712;GOALEL_04642;HBAILA_05276;HBKCOO_05215;IBBJOJ_05468;IECKKB_05472;IILOJN_05041
5	group_4387	gene_presence_absence	tnp	IS21 family ISKpn7 transposase	48	50	0.9600	13	50	0.2600	Cases	4.22	53.8889	13.0881	221.882	13.09-221.9	1.13e-14		22.6988	Panaroo/Bakta+GenBank		tnp	group_4387 | KPN_RS00100 | none confidence	bifunctional riboflavin kinase/FAD synthetase	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=40.31; coverage=1.17	KPN_RS00100	ribF	bifunctional riboflavin kinase/FAD synthetase	19766..20704	nucleotide_similarity	40.31	1.17	none	matched_representative_sequence=group_4387	ACMLHL_04660;AENLJA_04787;AEOABF_05516;AHHNMN_05379;ANNNIK_04401;BEDDGA_05734;BGGBBI_03020;BLCKKP_05530;BMDOOG_04888;CBCBPB_05549;CHCLDJ_05487;CPJPGI_05431;DFFEKE_04974;DGLKOJ_05284;DMJFLM_05329;EKPLKB_05138;EMKGNF_05190;EOIIEI_04857;FIIMIJ_04891;FMDNFB_05252;FPBJNE_05335;FPPMFH_04408;GCNAEO_05347;GHEABH_04711;GOALEL_04641;HBAILA_05277;HBKCOO_05214;IBBJOJ_05469;IECKKB_05473;IILOJN_05040
6	tnpR	gene_presence_absence	thrC	Tn3-like element Tn4401 family resolvase TnpR	48	50	0.9600	13	50	0.2600	Cases	4.22	53.8889	13.0881	221.882	13.09-221.9	1.13e-14		22.6988	Panaroo/Bakta+GenBank		thrC	tnpR | KPN_RS00020 | none confidence	threonine synthase	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=32.30; coverage=0.58	KPN_RS00020	thrC	threonine synthase	3737..5017	nucleotide_similarity	32.30	0.58	none	matched_representative_sequence=tnpR	ACMLHL_04662;AENLJA_04789;AEOABF_05518;AHHNMN_05381;ANNNIK_04403;BEDDGA_05369;BGGBBI_03018;BLCKKP_05528;BMDOOG_04886;CBCBPB_05551;CHCLDJ_05489;CPJPGI_05433;DFFEKE_04976;DGLKOJ_05286;DMJFLM_05331;EKPLKB_05136;EMKGNF_05192;EOIIEI_04859;FIIMIJ_04889;FMDNFB_05250;FPBJNE_05337;FPPMFH_04406;GCNAEO_05345;GHEABH_04709;GOALEL_04639;HBAILA_05279;HBKCOO_05212;IBBJOJ_05471;IECKKB_05475;IILOJN_05038
7	group_7379	gene_presence_absence	group_7379	Transcriptional regulator	43	50	0.8600	8	50	0.1600	Cases	3.47	29	9.95669	84.4658	9.957-84.47	1.88e-13		20.5838	Panaroo/Bakta+GenBank		group_7379	group_7379 | KPN_RS11035 | none confidence	winged helix-turn-helix transcriptionalregulator	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=54.79; coverage=18.28	KPN_RS11035		winged helix-turn-helix transcriptionalregulator	2243450..2243911	nucleotide_similarity	54.79	18.28	none	matched_representative_sequence=group_7379	27_refound_477_pseudo;29_refound_510_pseudo;31_refound_532_pseudo;34_refound_585_pseudo;47_refound_720_pseudo;52_refound_787_pseudo;70_refound_1043_pseudo;99_refound_1476_pseudo;AEOABF_01427;AHHNMN_04661;AHNHFK_00870;ANNNIK_00014;BEDDGA_01711;BGGBBI_02160;BLCKKP_00671;CBCBPB_03720;CHCLDJ_04823;CPJPGI_02590;DGLKOJ_00212;EKPLKB_00674;EOIIEI_01929;FIIMIJ_01513;FMDNFB_01649;FPBJNE_00845;FPPMFH_03934;GCNAEO_01540;GOALEL_01412;HBAILA_02424;HBKCOO_02444;IBBJOJ_04654
8	ybcN	gene_presence_absence	fkpB	Uncharacterized protein YbcN	42	50	0.8400	7	50	0.1400	Cases	3.47	29	9.95669	84.4658	9.957-84.47	1.88e-13		20.5838	Panaroo/Bakta+GenBank		fkpB	ybcN | KPN_RS00115 | none confidence	FKBP-type peptidyl-prolyl cis-trans isomerase	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=44.59; coverage=1.97	KPN_RS00115	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase	24180..24629	nucleotide_similarity	44.59	1.97	none	matched_representative_sequence=ybcN	AENLJA_03560;AEOABF_00915;AHHNMN_00518;AHNHFK_01924;ANNNIK_00778;BEDDGA_00655;BGGBBI_00339;BLCKKP_04431;CBCBPB_02166;CHCLDJ_00542;CPJPGI_01560;DGLKOJ_00779;DMJFLM_01513;EKPLKB_01608;EOIIEI_01653;FIIMIJ_00381;FMDNFB_01289;FPBJNE_04642;FPPMFH_01000;GNFDFK_02141;GOALEL_04539;HBAILA_00880;HBKCOO_01422;IBBJOJ_01601;IECKKB_01063;IKDFAP_05424;JGNJAB_01570;JJNMLC_01055;JMFOKH_02187;JMKDJN_01303
9	group_7316	gene_presence_absence	rpsT	Colicin D immunity protein domain-containing protein	37	50	0.7400	4	50	0.0800	Cases	3.49	28.7037	9.08545	90.6837	9.085-90.68	1.4e-12		19.6970	Panaroo/Bakta+GenBank		rpsT	group_7316 | KPN_RS00095 | none confidence	30S ribosomal protein S20	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=40.36; coverage=2.75	KPN_RS00095	rpsT	30S ribosomal protein S20	complement(19173..19436)	nucleotide_similarity	40.36	2.75	none	matched_representative_sequence=group_7316	AEOABF_05115;AHHNMN_04799;AHNHFK_05366;ANNNIK_05728;BEDDGA_05320;BLCKKP_05118;CBCBPB_05221;CHCLDJ_04971;CPJPGI_05037;DGLKOJ_05108;EKPLKB_03526;EOIIEI_05391;FIIMIJ_04948;FMDNFB_04660;FPBJNE_02811;FPPMFH_05394;GCNAEO_04949;GOALEL_04958;HBAILA_04948;HBKCOO_04854;IBBJOJ_04993;IECKKB_04999;JGNJAB_04996;JJNMLC_04691;JMFOKH_02490;KKELHE_05049;KNNKAF_04870;LEGHFF_02427;LGDJCA_02378;MDEGCH_04965
10	group_3102	gene_presence_absence	yiiM	6-hydroxyaminopurine reductase	42	50	0.8400	8	50	0.1600	Cases	3.32	25	8.82327	70.8354	8.823-70.84	1.08e-12		19.6104	Panaroo/Bakta+GenBank		yiiM	group_3102 | KPN_RS22740 | none confidence	6-hydroxyaminopurine reductase	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=34.78; coverage=2.83	KPN_RS22740	yiiM	6-hydroxyaminopurine reductase	4618979..4619653	nucleotide_similarity	34.78	2.83	none	matched_representative_sequence=group_3102	AEOABF_00913;AHHNMN_00516;AHNHFK_01922;ANNNIK_00780;BEDDGA_00653;BGGBBI_00337;BLCKKP_04433;CBCBPB_02168;CHCLDJ_00540;CPJPGI_01562;DDIAJH_00161;DGLKOJ_00777;EEHIAL_02108;EKPLKB_01606;EOIIEI_01651;FIIMIJ_00379;FMDNFB_01287;FPBJNE_04640;FPPMFH_00998;GOALEL_04541;HBAILA_00878;HBKCOO_01424;HPFPEC_00994;IBBJOJ_01603;IECKKB_01065;IILOJN_00625;IKDFAP_05422;JGNJAB_01568;JJNMLC_01057;JMFOKH_02189
